payload_number;adc_time;sg_1;sg_2;sg_3;sg_4
616;38;1631;1636;1627;1628
617;38;1637;1638;1637;1637
618;38;1643;1641;1639;1639
619;38;1643;1643;1638;1637
620;37;1637;1634;1634;1635
621;37;1638;1639;1640;1637
622;38;1639;1636;1634;1634
623;44;1637;1633;1637;1638
624;37;1640;1639;1635;1633
625;38;1639;1636;1637;1638
626;38;1640;1637;1632;1633
627;38;1636;1638;1635;1629
628;38;1639;1636;1637;1638
629;38;1640;1639;1644;1639
630;38;1640;1638;1635;1637
631;38;1640;1636;1638;1636
632;38;1639;1640;1638;1636
633;37;1639;1635;1638;1637
634;44;1640;1636;1638;1640
635;38;1641;1640;1637;1635
636;38;1643;1639;1637;1638
637;38;1639;1636;1630;1627
638;38;1631;1640;1636;1631
639;38;1630;1633;1633;1634
640;38;1639;1638;1637;1636
641;37;1641;1639;1632;1633
642;38;1638;1634;1638;1639
643;37;1638;1642;1642;1638
644;37;1639;1636;1635;1637
645;44;1636;1635;1637;1638
646;38;1638;1643;1638;1637
647;38;1637;1636;1635;1635
648;38;1637;1637;1642;1639
649;38;1638;1637;1633;1633
650;38;1642;1639;1635;1638
651;37;1641;1639;1638;1635
652;38;1640;1638;1637;1636
653;38;1641;1637;1638;1637
654;38;1638;1641;1636;1634
655;37;1643;1640;1634;1637
656;44;1630;1628;1634;1637
657;37;1631;1630;1630;1633
658;38;1636;1629;1633;1638
659;37;1640;1640;1644;1642
660;38;1641;1644;1638;1635
661;38;1637;1636;1640;1638
662;37;1640;1638;1645;1639
663;38;1639;1635;1634;1636
664;38;1639;1636;1636;1641
665;37;1639;1640;1636;1635
666;37;1638;1632;1631;1635
667;44;1640;1638;1640;1640
668;38;1640;1641;1638;1636
669;38;1643;1638;1636;1638
670;38;1638;1640;1640;1636
671;38;1639;1643;1637;1635
672;37;1635;1634;1636;1637
673;38;1639;1638;1644;1638
674;38;1639;1635;1633;1633
675;37;1639;1638;1637;1638
676;38;1636;1634;1631;1633
677;37;1641;1640;1631;1630
678;44;1637;1636;1636;1639
679;38;1640;1642;1639;1634
680;37;1638;1635;1633;1637
681;38;1638;1638;1639;1636
682;38;1640;1643;1640;1636
683;38;1632;1636;1638;1639
684;37;1643;1640;1638;1638
685;38;1639;1637;1635;1636
686;37;1635;1636;1636;1640
687;38;1638;1641;1644;1635
688;38;1640;1635;1632;1632
689;44;1630;1628;1634;1639
690;38;1638;1639;1635;1633
691;38;1642;1635;1632;1634
692;38;1639;1639;1642;1637
693;38;1641;1644;1641;1638
694;38;1637;1638;1637;1639
695;38;1642;1640;1640;1637
696;38;1642;1644;1640;1638
697;38;1643;1638;1638;1637
698;38;1639;1642;1644;1640
699;37;1639;1636;1633;1632
700;44;1640;1637;1637;1639
701;37;1638;1642;1641;1637
702;38;1641;1638;1636;1639
703;38;1638;1639;1644;1643
704;38;1640;1640;1636;1635
705;38;1642;1637;1637;1636
706;38;1638;1632;1637;1633
707;38;1639;1637;1633;1634
708;38;1633;1635;1638;1638
709;38;1639;1642;1645;1639
710;37;1641;1639;1635;1636
711;44;1640;1638;1638;1639
712;38;1640;1641;1638;1637
713;38;1645;1640;1637;1637
714;37;1638;1640;1644;1643
715;38;1641;1640;1636;1636
716;38;1644;1635;1633;1638
717;38;1641;1640;1643;1638
718;38;1636;1637;1635;1636
719;38;1636;1631;1633;1636
720;38;1636;1632;1632;1634
721;37;1639;1635;1629;1628
722;44;1638;1636;1635;1638
723;38;1637;1638;1637;1637
724;38;1636;1633;1633;1634
725;38;1635;1637;1644;1643
726;37;1639;1640;1639;1636
727;37;1642;1637;1637;1638
728;38;1639;1640;1640;1636
729;38;1641;1637;1637;1635
730;38;1647;1647;1641;1639
731;38;1635;1640;1638;1635
732;37;1643;1640;1637;1638
733;44;1634;1635;1639;1638
734;37;1640;1641;1639;1638
735;38;1644;1639;1637;1639
736;37;1640;1638;1633;1631
737;38;1634;1637;1631;1631
738;38;1641;1636;1636;1636
739;37;1637;1640;1636;1634
740;38;1641;1640;1637;1634
741;37;1633;1629;1632;1638
742;37;1639;1641;1643;1641
743;37;1636;1637;1637;1639
744;44;1636;1635;1637;1638
745;38;1639;1643;1640;1637
746;38;1638;1637;1634;1636
747;38;1637;1638;1643;1647
748;38;1640;1638;1638;1636
749;37;1641;1636;1633;1633
750;38;1636;1635;1637;1638
751;38;1642;1640;1637;1635
752;38;1640;1637;1638;1638
753;38;1640;1641;1639;1638
754;37;1642;1638;1636;1634
755;44;1635;1633;1636;1637
756;38;1634;1629;1629;1634
757;37;1635;1634;1631;1632
758;38;1636;1633;1641;1638
759;38;1641;1640;1637;1637
760;38;1644;1639;1637;1636
761;37;1639;1639;1640;1636
762;38;1642;1644;1638;1635
763;37;1634;1634;1634;1636
764;37;1639;1641;1642;1637
765;37;1639;1637;1637;1638
766;43;1631;1633;1635;1638
767;38;1641;1645;1641;1637
768;37;1638;1636;1636;1638
769;38;1638;1638;1643;1641
770;38;1639;1639;1633;1634
771;38;1640;1637;1634;1634
772;38;1639;1638;1637;1634
773;38;1641;1642;1635;1636
774;37;1636;1634;1631;1633
775;37;1637;1639;1635;1635
776;37;1635;1628;1633;1637
777;44;1639;1633;1633;1638
778;37;1639;1641;1636;1636
779;38;1643;1637;1635;1637
780;37;1637;1637;1638;1638
781;38;1639;1636;1635;1634
782;38;1642;1637;1635;1636
783;38;1637;1637;1634;1632
784;38;1642;1642;1639;1638
785;37;1637;1635;1635;1639
786;38;1639;1642;1644;1639
787;38;1641;1636;1635;1634
788;44;1637;1636;1636;1638
789;37;1638;1643;1640;1634
790;38;1637;1636;1636;1637
791;38;1639;1637;1643;1641
792;38;1641;1638;1637;1635
793;38;1643;1638;1638;1638
794;38;1639;1640;1640;1637
795;37;1642;1643;1638;1636
796;38;1636;1629;1633;1637
797;37;1639;1641;1643;1638
798;37;1644;1641;1637;1636
799;44;1632;1633;1631;1629
800;38;1628;1638;1639;1637
801;38;1641;1635;1637;1638
802;38;1639;1639;1643;1643
803;38;1640;1643;1639;1637
804;38;1634;1633;1633;1634
805;37;1637;1639;1643;1639
806;38;1641;1636;1635;1632
807;38;1640;1636;1633;1636
808;38;1637;1639;1635;1634
809;37;1645;1642;1638;1639
810;44;1639;1637;1638;1639
811;37;1639;1644;1643;1638
812;38;1637;1634;1633;1636
813;37;1637;1639;1639;1636
814;38;1638;1645;1638;1637
815;38;1636;1636;1636;1637
816;38;1639;1636;1644;1638
817;38;1643;1640;1638;1636
818;37;1643;1639;1637;1637
